시군명,사업장명,인허가일자,영업상태명,폐업일자,다중이용업소여부,총시설규모(㎡),위생업종명,위생업태명,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
가평군,GS25가평대로점,20190109,영업,,,,,편의점,"경기도 가평군 가평읍 가화로 160, A동 1층 101호 (정명빌라)",경기도 가평군 가평읍 읍내리 626-13 정명빌라 A동 1층 101호 ,12412,37.8336188864,127.5116824712
가평군,지에스(GS)25가평자라섬점,20211203,영업,,,,,편의점,"경기도 가평군 가평읍 자라섬로 60, 자라섬수상클럽하우스 1층","경기도 가평군 가평읍 달전리 산 7 ,산8 자라섬수상클럽하우스 1층 ",12421,37.8209000098,127.5210429935
가평군,세븐일레븐청평스마트점,20170803,영업,,,,,편의점,경기도 가평군 청평면 경춘로 660,경기도 가평군 청평면 청평리 701-16 ,12454,37.7280039351,127.4098395230
가평군,GS25가평조종점,20170504,영업,,,,,편의점,"경기도 가평군 조종면 현창로 25, 1층","경기도 가평군 조종면 현리 410-18 외 7필지, 1층 ",12438,37.8170639997,127.3485031334
가평군,세븐일레븐아침고요수목원점,20171027,영업,,,,,편의점,경기도 가평군 상면 수목원로 22 (세븐일레븐 편의점 내) 1층,"경기도 가평군 상면 임초리 431-14 1층 , (세븐일레븐 편의점 내) ",12447,37.7718358161,127.3713277099
가평군,이마트24HJ매그놀리아국제병원점,2019-08-06,영업,,,,,편의점,"경기도 가평군 설악면 미사리로 267-177, 청심국제병원 지하1층",경기도 가평군 설악면 송산리 426-10 청심국제병원 ,12461,37.6911268232,127.5213805697
가평군,세븐일레븐가평아모르점,20210819,영업,,,,,편의점,"경기도 가평군 북면 꽃넘이길 65, C동 1층","경기도 가평군 북면 제령리 515-2 ,1층 C동 ",12405,37.8970241047,127.5245905809
가평군,이마트24스마트(SMART)가평라포하임점,20150922,영업,,,,,편의점,"경기도 가평군 가평읍 북한강변로 479-21, 1층","경기도 가평군 가평읍 금대리 284-28 ,1층 ",12428,37.7694033469,127.5377534321
가평군,GS(지에스)25청평강변나루,20220126,영업,,,,,편의점,"경기도 가평군 청평면 구청평로 64, 1층","경기도 가평군 청평면 청평리 626-13 ,1층 ",12454,37.7328833763,127.4141802064
가평군,이마트24현리BJ점,20210927,영업,,,,,편의점,"경기도 가평군 조종면 현창로 28-7, 1층",경기도 가평군 조종면 현리 410-52 1층 ,12438,37.8176333998,127.3497290420
가평군,이마트24 대성리역점,20080923,영업,,,,,편의점,경기도 가평군 청평면 경춘로 64-1,경기도 가평군 청평면 대성리 396 ,12457,37.6816829691,127.3782314933
가평군,씨유가평신상리점,20211008,영업,,,,,편의점,"경기도 가평군 조종면 운악청계로 358, 1층",경기도 가평군 조종면 신상리 170-2 씨유가평신상리점 1층 ,12434,37.8471767001,127.3554886607
가평군,세븐일레븐청평여울시장점,20211102,영업,,,,,편의점,"경기도 가평군 청평면 강변로 23, 1층","경기도 가평군 청평면 청평리 620-1 외2필지,1층 ",12453,37.7346866772,127.4150633547
가평군,씨유뉴현리맹호점,20220307,영업,,,,,편의점,"경기도 가평군 조종면 운악청계로 156, 1층","경기도 가평군 조종면 현리 74-18 ,1층 ",12435,37.8340759014,127.3447067686
